timestep,left_hip_pitch_joint_pos_diff,left_hip_roll_joint_pos_diff,left_hip_yaw_joint_pos_diff,left_knee_pitch_joint_pos_diff,left_ankle_pitch_joint_pos_diff,left_ankle_roll_joint_pos_diff,left_shoulder_pitch_joint_pos_diff,right_hip_pitch_joint_pos_diff,right_hip_roll_joint_pos_diff,right_hip_yaw_joint_pos_diff,right_knee_pitch_joint_pos_diff,right_ankle_pitch_joint_pos_diff,right_ankle_roll_joint_pos_diff,right_shoulder_pitch_joint_pos_diff,left_hip_pitch_joint_vel,left_hip_roll_joint_vel,left_hip_yaw_joint_vel,left_knee_pitch_joint_vel,left_ankle_pitch_joint_vel,left_ankle_roll_joint_vel,left_shoulder_pitch_joint_vel,right_hip_pitch_joint_vel,right_hip_roll_joint_vel,right_hip_yaw_joint_vel,right_knee_pitch_joint_vel,right_ankle_pitch_joint_vel,right_ankle_roll_joint_vel,right_shoulder_pitch_joint_vel,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_euler_x,base_euler_y,base_euler_z,left_hip_pitch_joint_action,left_hip_roll_joint_action,left_hip_yaw_joint_action,left_knee_pitch_joint_action,left_ankle_pitch_joint_action,left_ankle_roll_joint_action,left_shoulder_pitch_joint_action,right_hip_pitch_joint_action,right_hip_roll_joint_action,right_hip_yaw_joint_action,right_knee_pitch_joint_action,right_ankle_pitch_joint_action,right_ankle_roll_joint_action,right_shoulder_pitch_joint_action
0,0.221943,0.116919,-0.176759,0.487448,-0.160444,-0.022358,-0.058823,-0.086375,0.064477,-0.065614,0.001552,0.035960,-0.154829,-0.118265,0.125050,0.024089,-0.035444,0.121981,-0.038780,0.013744,0.039740,0.079326,-0.006905,-0.008746,-0.008746,-0.108145,0.255269,-0.022555,0.195331,-0.026923,-0.729078,0.034008,0.031272,0.249502,1.311901,0.541640,-0.492370,1.261968,-0.331268,0.055242,0.259974,0.452975,1.099719,0.014093,-0.323870,0.051044,-0.726680,-0.279225
1,0.247062,0.124397,-0.174266,0.508158,-0.166579,-0.018452,-0.050002,-0.070652,0.065819,-0.065230,-0.001516,0.011997,-0.108512,-0.121333,0.126584,0.041274,0.034830,0.114923,-0.032288,0.030312,0.044650,0.076871,0.013963,0.010280,-0.018566,-0.109613,0.233852,-0.016724,0.418297,-0.513871,-0.801052,0.037388,0.028639,0.242256,1.381350,0.467529,-0.550037,1.069965,-0.232368,0.114216,0.130775,-0.099856,0.535166,-0.327366,-0.460151,-0.172634,-0.621041,-0.013190
2,0.273140,0.132642,-0.165829,0.533085,-0.170678,-0.012024,-0.039264,-0.056271,0.072147,-0.062162,-0.006309,-0.009196,-0.079157,-0.124401,0.132108,0.040354,0.033602,0.112468,-0.020800,0.036181,0.059380,0.069199,0.037285,0.005984,-0.023783,-0.119171,0.071452,-0.018873,0.177321,-0.224151,-0.804948,0.039081,0.024313,0.233262,1.251135,0.493123,-0.576784,1.069012,-0.190744,0.088197,0.117999,0.210370,0.600349,-0.367712,-0.364637,-0.151585,-0.604668,-0.042430
3,0.299027,0.138970,-0.166404,0.554178,-0.174743,-0.001648,-0.026033,-0.044382,0.076749,-0.068298,-0.007459,-0.029652,-0.094110,-0.132839,0.130574,0.028079,-0.027158,0.102342,-0.011535,0.039765,0.062141,0.057231,0.012735,-0.058766,0.003222,-0.085487,-0.121998,-0.050787,-0.411580,-0.657983,-0.812820,0.038512,0.021185,0.226594,1.091097,0.177974,-0.654361,1.000262,-0.036469,0.042193,-0.106048,-0.439847,1.310061,-0.175984,-0.698858,-0.461602,-0.726449,0.136944
4,0.325296,0.142997,-0.186346,0.572778,-0.172724,0.003258,-0.016829,-0.033836,0.075982,-0.095527,-0.001707,-0.035041,-0.118453,-0.141084,0.131187,0.017031,-0.113082,0.086077,-0.000385,0.049260,0.041274,0.052015,-0.007211,-0.160647,0.034830,-0.015665,-0.122746,-0.033909,-0.982582,-0.648062,0.685703,0.030174,0.012108,0.225362,0.493311,0.038031,-0.526503,1.147656,-0.142687,0.060588,0.410250,-0.959643,1.663330,0.689276,-1.142036,-0.664355,-0.924418,-0.541162
5,0.351950,0.146065,-0.206480,0.587350,-0.172697,0.015727,-0.009734,-0.023673,0.073681,-0.130234,0.005963,-0.030370,-0.132909,-0.144343,0.133949,0.016111,-0.087612,0.068586,0.014531,0.046434,0.037285,0.050787,-0.011201,-0.167398,0.036057,0.025566,-0.054102,-0.010587,-0.371466,0.135529,0.534095,0.022651,0.006555,0.232374,1.103925,0.640239,-0.427865,1.191549,-0.052100,0.050831,-0.021370,0.614452,1.664803,0.126921,-0.705366,-0.520179,-0.866123,-0.226714
6,0.378220,0.149516,-0.214150,0.597897,-0.166550,0.022752,0.000237,-0.014660,0.073106,-0.151135,0.010948,-0.032531,-0.142086,-0.145302,0.127812,0.019486,-0.022555,0.056004,0.031507,0.035767,0.049560,0.041274,0.003529,-0.067665,0.022248,-0.009195,0.005983,-0.009360,-0.107217,0.059219,0.320651,0.020914,0.009955,0.237336,1.174476,0.438201,-0.368882,1.235273,-0.252688,0.042498,0.477771,0.387901,1.132801,0.287558,-0.652828,-0.391123,-0.827370,-0.608053
7,0.401422,0.154310,-0.215684,0.608251,-0.160448,0.029392,0.010591,-0.008141,0.076174,-0.150176,0.011907,-0.038743,-0.135228,-0.147411,0.110627,0.023783,-0.001995,0.043115,0.047586,0.021458,0.049867,0.029613,0.018566,0.026544,-0.002915,-0.059542,0.028847,-0.009666,0.011100,-0.177311,0.261407,0.020811,0.009796,0.239769,1.290788,0.472969,-0.431458,1.126229,-0.180192,0.084741,0.225392,0.238582,1.014478,-0.048193,-0.663835,-0.628009,-0.765944,-0.261376
8,0.421172,0.158529,-0.214150,0.614579,-0.148185,0.030182,0.018261,-0.002964,0.081351,-0.142506,0.009798,-0.057609,-0.122644,-0.149712,0.095283,0.020714,0.011508,0.033295,0.058870,0.007780,0.033295,0.025931,0.028386,0.034830,-0.014883,-0.109887,0.068802,-0.013349,-0.143478,0.226759,-0.016588,0.017619,0.009533,0.240881,1.102602,0.363041,-0.581665,1.081002,-0.145784,0.033277,0.226648,0.505007,1.513642,0.340538,-0.548797,-0.465584,-0.850954,-0.364276
9,0.439005,0.162172,-0.211466,0.620331,-0.138013,0.030402,0.023822,0.002022,0.085761,-0.141356,0.007688,-0.076605,-0.108917,-0.152589,0.086077,0.016418,0.013963,0.022555,0.063519,-0.004381,0.027158,0.025624,0.016418,-0.010587,-0.002915,-0.097503,0.081915,-0.015190,0.064558,-0.008996,-0.117811,0.017574,0.012271,0.240542,1.237389,0.261329,-0.686291,0.884288,-0.049512,0.053481,0.145880,0.128713,1.304104,0.264095,-0.658956,-0.449342,-0.759080,-0.262626
10,0.455111,0.164857,-0.212424,0.623591,-0.127820,0.031212,0.028616,0.007966,0.086145,-0.150368,0.009414,-0.089185,-0.099099,-0.155465,0.079019,0.011814,-0.017031,0.012735,0.062680,-0.008506,0.020407,0.032375,-0.001995,-0.055083,0.012735,-0.057794,0.027253,-0.012735,-0.143104,-0.205732,0.220442,0.017572,0.011526,0.240279,1.097430,0.313307,-0.546592,1.002548,-0.073771,0.061748,0.203589,0.131073,1.292166,0.249979,-0.716512,-0.538891,-0.814884,-0.364144
11,0.470260,0.166774,-0.217793,0.624167,-0.115504,0.027397,0.032259,0.015445,0.085570,-0.160338,0.013057,-0.095247,-0.104214,-0.156999,0.074416,0.010587,-0.025010,-0.001381,0.058966,-0.009299,0.016111,0.040967,-0.001995,-0.041581,0.018873,-0.018797,-0.035403,-0.006598,0.122612,0.144809,0.475036,0.018410,0.009947,0.244398,1.048266,0.367980,-0.432902,0.957753,-0.130087,0.062390,0.388356,0.459470,0.922515,0.330072,-0.627478,-0.417502,-0.713549,-0.563498
12,0.484449,0.168883,-0.220861,0.622441,-0.105235,0.026002,0.035327,0.024456,0.086145,-0.163598,0.016509,-0.097081,-0.116987,-0.157766,0.070427,0.009973,-0.009666,-0.010587,0.056340,-0.009256,0.015804,0.046184,0.004756,-0.005984,0.015497,0.006086,-0.047075,-0.003222,0.299272,0.194724,0.298687,0.022670,0.011542,0.248543,1.228793,0.506514,-0.422779,0.883530,-0.082402,0.072403,0.187477,0.595215,0.811488,-0.027484,-0.504551,-0.371862,-0.626341,-0.332916
13,0.497872,0.170417,-0.220861,0.619181,-0.092845,0.021175,0.037819,0.033660,0.087295,-0.162831,0.018426,-0.092566,-0.121266,-0.158533,0.065517,0.006905,0.002915,-0.019486,0.055223,-0.006306,0.013349,0.044957,0.005984,0.004143,0.007211,0.008790,-0.024672,-0.006905,0.175338,0.063050,0.177304,0.025905,0.012539,0.250842,1.033871,0.328046,-0.368781,0.909665,-0.141749,0.048725,0.344483,0.433333,0.888284,0.169490,-0.496609,-0.358580,-0.626780,-0.480120
14,0.509760,0.171376,-0.220861,0.614003,-0.082518,0.020365,0.040504,0.042673,0.087487,-0.163023,0.018810,-0.094740,-0.121314,-0.161025,0.056618,0.005063,-0.001074,-0.027465,0.053354,-0.000477,0.012121,0.045263,-0.000767,-0.003529,-0.000767,-0.014339,0.021379,-0.012735,0.008155,-0.017576,0.086874,0.027157,0.013430,0.252272,1.090200,0.396690,-0.401384,0.894618,-0.018813,0.060397,0.103848,0.326902,1.105447,0.041678,-0.680432,-0.548551,-0.666557,-0.262095
15,0.519923,0.172335,-0.220861,0.607292,-0.074250,0.023370,0.042613,0.052069,0.086720,-0.165132,0.018426,-0.101173,-0.114293,-0.163518,0.049253,0.005370,0.001995,-0.035444,0.048980,0.007269,0.010587,0.048639,-0.005370,-0.013656,-0.001995,-0.043442,0.047923,-0.012735,-0.098712,-0.060752,-0.086326,0.027498,0.012818,0.252286,1.037298,0.332830,-0.443999,0.893070,0.026665,0.084791,0.098966,0.204151,1.277889,0.200740,-0.776341,-0.575488,-0.720121,-0.305942
16,0.528744,0.173102,-0.219902,0.599431,-0.065954,0.025771,0.044339,0.062040,0.085186,-0.168009,0.018043,-0.111684,-0.103362,-0.166203,0.041888,0.001995,0.002915,-0.041581,0.042453,0.011827,0.008439,0.049560,-0.007211,-0.013349,-0.001074,-0.064464,0.041389,-0.012735,-0.148709,0.164921,-0.255212,0.027025,0.014143,0.250600,1.139075,0.490502,-0.456193,0.802085,0.124708,0.115999,-0.044211,0.694985,1.333917,0.053507,-0.619553,-0.440184,-0.715304,-0.276222
17,0.535839,0.172910,-0.221053,0.590227,-0.057623,0.026975,0.045106,0.071435,0.083844,-0.170885,0.017851,-0.121944,-0.097176,-0.168312,0.032682,-0.001995,-0.009360,-0.048332,0.037377,0.016860,0.001074,0.045877,-0.005370,-0.014883,-0.000767,-0.054691,0.003892,-0.010587,-0.236188,0.046437,-0.331396,0.026530,0.015213,0.247325,1.151761,0.426543,-0.443089,0.758632,0.153333,0.153124,-0.066283,0.589267,1.430922,0.030411,-0.612459,-0.449175,-0.736366,-0.283493
18,0.541207,0.172718,-0.223929,0.579489,-0.051374,0.032185,0.044914,0.079873,0.083461,-0.174528,0.017851,-0.132201,-0.105477,-0.169079,0.024089,-0.000153,-0.013656,-0.055390,0.036195,0.022237,-0.001688,0.041274,-0.000153,-0.021634,-0.001074,-0.033823,-0.016705,0.001381,-0.297058,0.053781,0.082447,0.024409,0.014993,0.246263,1.000873,0.270086,-0.442050,0.674610,0.155100,0.177378,0.075506,0.416659,1.429001,0.204188,-0.656780,-0.494738,-0.710253,-0.415263
19,0.545043,0.172718,-0.225080,0.568751,-0.043025,0.035351,0.044723,0.088118,0.084036,-0.181048,0.017659,-0.134080,-0.105701,-0.167929,0.017952,0.001381,-0.002608,-0.061835,0.042034,0.025553,-0.002302,0.041274,0.004143,-0.036057,-0.001074,-0.009193,-0.004202,0.005677,-0.352769,0.137596,0.215556,0.021817,0.014589,0.247974,0.959474,0.304992,-0.445980,0.570135,0.255095,0.191551,-0.106747,0.575450,1.518664,0.059369,-0.597045,-0.531385,-0.676082,-0.285295
20,0.547918,0.172910,-0.224696,0.555136,-0.032561,0.039044,0.044531,0.096555,0.085378,-0.187951,0.017468,-0.134186,-0.101728,-0.166778,0.012735,0.000153,0.005984,-0.070734,0.051103,0.031058,-0.000153,0.043115,0.008132,-0.032068,-0.000460,-0.003367,0.023398,0.006905,-0.297423,0.175873,0.100771,0.019355,0.015283,0.249776,0.906841,0.226010,-0.459279,0.435107,0.285201,0.200022,-0.037697,0.626516,1.396598,0.035097,-0.507841,-0.442039,-0.594503,-0.351308
21,0.549645,0.172718,-0.223162,0.538070,-0.024213,0.050862,0.044723,0.104991,0.087295,-0.193320,0.017468,-0.136348,-0.095396,-0.165628,0.006598,-0.001074,0.008132,-0.080554,0.061306,0.038445,-0.000153,0.042808,0.009973,-0.025624,-0.000153,-0.025828,0.028165,0.005370,-0.296510,0.127632,0.014282,0.016783,0.016017,0.250305,0.885606,0.233801,-0.415699,0.321528,0.349109,0.199661,-0.153442,0.700992,1.344433,-0.173909,-0.411360,-0.416073,-0.531758,-0.249018
22,0.549645,0.172527,-0.222012,0.522155,-0.009568,0.056924,0.044531,0.113429,0.089213,-0.198497,0.017468,-0.146769,-0.092139,-0.165053,-0.001995,-0.001074,0.005370,-0.090374,0.074105,0.043588,-0.001688,0.042502,0.009053,-0.026237,0.000460,-0.057898,0.027049,0.001074,-0.262017,0.132586,-0.134797,0.014233,0.017097,0.249791,0.775004,0.105319,-0.431172,0.163547,0.394345,0.203200,-0.169410,0.613407,1.232845,-0.209559,-0.323491,-0.387463,-0.424224,-0.201734
23,0.548111,0.172143,-0.221245,0.502597,0.007177,0.065201,0.043764,0.122058,0.090747,-0.203483,0.017468,-0.159089,-0.088483,-0.165244,-0.010587,-0.002608,0.004756,-0.102035,0.086984,0.049300,-0.004450,0.043115,0.008439,-0.026237,0.000767,-0.063321,0.022470,-0.000460,-0.184974,0.223542,-0.247060,0.012470,0.018965,0.247857,0.717068,0.063708,-0.410136,-0.048724,0.441384,0.152214,-0.212070,0.756075,0.961641,-0.369145,-0.097921,-0.207748,-0.249555,-0.145350
24,0.544850,0.171376,-0.219902,0.480354,0.025970,0.074459,0.042038,0.130878,0.092472,-0.210002,0.018043,-0.169421,-0.084196,-0.165053,-0.018566,-0.004450,0.007211,-0.114616,0.100927,0.049060,-0.010280,0.044957,0.009053,-0.035137,0.002608,-0.040726,0.027956,0.001381,-0.140977,0.141303,-0.203450,0.010972,0.020681,0.245413,0.560008,-0.039030,-0.355532,-0.130899,0.383066,0.114038,-0.204953,0.629761,0.700749,-0.539548,0.017578,-0.041332,-0.110376,-0.118809
25,0.539865,0.169842,-0.217793,0.452550,0.044685,0.088026,0.039162,0.140082,0.094199,-0.217864,0.019193,-0.171521,-0.074908,-0.164286,-0.028079,-0.008439,0.012428,-0.131494,0.113625,0.044754,-0.015497,0.047412,0.008746,-0.042195,0.006291,-0.018323,0.035576,0.004450,-0.068467,0.176927,-0.034216,0.009668,0.021366,0.244326,0.356735,-0.116077,-0.287531,-0.152928,0.270437,0.082024,-0.091810,0.558774,0.401826,-0.632588,0.084180,0.255255,0.046906,-0.165532
26,0.532962,0.167349,-0.214725,0.423595,0.069545,0.092564,0.035519,0.149861,0.095924,-0.227835,0.021302,-0.175826,-0.070190,-0.162751,-0.036978,-0.014883,0.015190,-0.151441,0.124156,0.029732,-0.020100,0.050173,0.007211,-0.053856,0.012121,-0.015992,0.036080,0.008439,-0.092601,0.218263,0.113443,0.008791,0.023159,0.244760,0.173724,-0.167214,-0.228587,-0.121003,0.181914,0.107200,-0.084710,0.468067,0.189578,-0.734074,0.129712,0.595041,0.189357,-0.117112
27,0.524142,0.163514,-0.212041,0.390423,0.094213,0.096337,0.030725,0.160024,0.096499,-0.240107,0.024563,-0.177991,-0.059332,-0.160067,-0.046798,-0.021634,0.014576,-0.172001,0.129291,0.009336,-0.024396,0.051094,0.001995,-0.064289,0.018873,-0.021368,0.044907,0.015190,-0.130254,0.089409,0.120179,0.007536,0.024900,0.246000,0.027891,-0.247876,-0.199502,-0.069413,0.054710,0.115672,-0.066878,0.147380,-0.006368,-0.815176,0.064091,0.801924,0.317010,-0.026307
28,0.513212,0.157762,-0.208781,0.353798,0.116651,0.098542,0.026123,0.169995,0.096116,-0.253146,0.029165,-0.182205,-0.049884,-0.156232,-0.058152,-0.030841,0.017952,-0.189493,0.123438,-0.014173,-0.023783,0.049867,-0.003529,-0.066131,0.024703,-0.025801,0.041611,0.021634,-0.225145,0.080022,0.109748,0.005765,0.025851,0.247160,-0.159007,-0.381293,-0.202135,0.010868,0.014798,0.222878,-0.106163,0.019551,-0.123146,-0.804143,0.122457,0.919485,0.433386,0.024821
29,0.499598,0.150283,-0.203988,0.317558,0.143097,0.087299,0.021329,0.179391,0.094199,-0.266185,0.034917,-0.186387,-0.043016,-0.151246,-0.071961,-0.040660,0.027465,-0.204223,0.104094,-0.036725,-0.024703,0.045570,-0.012428,-0.064596,0.030534,-0.018239,0.034468,0.025931,-0.342150,0.083988,0.112703,0.002776,0.026787,0.248236,-0.213019,-0.608419,-0.322691,0.019980,-0.029641,0.395851,-0.200357,-0.280736,-0.209438,-0.636859,0.219771,0.786423,0.486573,0.093499
30,0.482915,0.140504,-0.197468,0.270770,0.157207,0.081402,0.015385,0.187253,0.090172,-0.279607,0.041820,-0.190586,-0.041285,-0.145877,-0.088225,-0.052015,0.034216,-0.214043,0.078392,-0.043886,-0.030841,0.036671,-0.022862,-0.069813,0.035444,-0.004636,0.029004,0.028386,-0.498921,0.082251,0.272353,-0.001525,0.027548,0.249927,-0.244928,-0.968320,-0.585009,0.032817,-0.175579,0.625389,-0.288086,-0.831553,-0.253147,-0.171630,0.362216,0.355753,0.365181,0.141637
31,0.463165,0.128041,-0.190756,0.227435,0.169302,0.071283,0.009441,0.192430,0.084036,-0.293605,0.048723,-0.188639,-0.033764,-0.139550,-0.102955,-0.066744,0.032989,-0.218953,0.041899,-0.031516,-0.029306,0.020714,-0.035137,-0.069506,0.038819,0.009027,0.029772,0.033295,-0.617385,-0.039850,0.183843,-0.007449,0.027207,0.252763,-0.135463,-1.093343,-0.810889,-0.067706,-0.303253,0.813566,-0.434771,-1.005467,-0.209851,0.240659,0.614298,0.019902,0.123105,0.280236
32,0.441114,0.112125,-0.185771,0.187359,0.169292,0.074584,0.003113,0.193772,0.074832,-0.304535,0.057352,-0.186715,-0.025842,-0.132455,-0.113082,-0.086077,0.021328,-0.221714,0.000903,0.004945,-0.032989,-0.000460,-0.050173,-0.041581,0.044957,0.003999,0.037850,0.036978,-0.736081,0.030626,0.161535,-0.014401,0.026508,0.254115,-0.052403,-0.985910,-0.727944,-0.146000,-0.191655,0.860348,-0.485990,-0.842416,-0.234228,0.379977,0.787026,-0.197728,-0.012460,0.363443
33,0.417528,0.091799,-0.184237,0.138846,0.165282,0.081628,-0.004174,0.190321,0.062943,-0.302426,0.069049,-0.188804,-0.017388,-0.124209,-0.119833,-0.107865,-0.003529,-0.221407,-0.040122,0.065269,-0.036978,-0.023783,-0.063369,0.035444,0.059380,-0.017357,0.047199,0.042808,-0.743008,-0.145945,0.106288,-0.022088,0.024721,0.255791,0.061566,-0.840151,-0.607224,-0.204592,-0.133677,0.821736,-0.469061,-0.715060,-0.236701,0.372973,0.861948,-0.291919,-0.049553,0.443299
34,0.393176,0.068214,-0.187880,0.095319,0.155266,0.100750,-0.012036,0.182651,0.048945,-0.284977,0.083621,-0.194867,-0.008622,-0.114814,-0.120754,-0.119219,-0.009360,-0.212815,-0.037093,0.083884,-0.041888,-0.044036,-0.070734,0.111241,0.079940,-0.037255,0.042973,0.048946,-0.784288,0.069549,-0.102288,-0.029922,0.023064,0.255820,-0.035544,-0.770673,-0.525680,-0.147812,0.047223,0.766315,-0.534398,-0.529226,-0.210591,0.332578,0.915916,-0.364445,-0.049902,0.528659
35,0.373042,0.048080,-0.176184,0.064255,0.169339,0.089989,-0.022582,0.172488,0.037632,-0.253337,0.103947,-0.202879,-0.000908,-0.105418,-0.095590,-0.092215,0.105103,-0.131494,0.096664,-0.086170,-0.054776,-0.052628,-0.043422,0.181514,0.113696,-0.049760,0.033484,0.043115,-0.221149,-0.268341,-0.632457,-0.037089,0.022044,0.251957,0.286583,-0.738505,-0.782746,-0.320482,-0.059846,0.834129,-0.778621,-0.307360,-0.239321,0.291803,0.928041,-0.412515,-0.074302,0.733341
36,0.355018,0.036576,-0.140518,0.046422,0.189384,0.072987,-0.034278,0.161558,0.032838,-0.196388,0.129450,-0.212834,-0.001703,-0.101775,-0.091294,-0.040047,0.191334,-0.076564,0.100310,-0.079743,-0.060300,-0.054470,-0.017338,0.326051,0.129960,-0.040398,0.000485,0.011814,1.308178,-0.525596,-1.710933,-0.025056,0.013657,0.241692,1.081243,-0.903181,-1.323976,-0.872843,-0.253218,1.129899,-0.842248,0.193372,-0.809124,0.185618,0.773079,-0.316209,-0.061515,0.752171
37,0.336034,0.032357,-0.103318,0.034342,0.205359,0.069468,-0.047126,0.149286,0.029578,-0.131768,0.157062,-0.216810,-0.001393,-0.097173,-0.094363,-0.016724,0.168626,-0.064596,0.062741,0.010710,-0.066131,-0.065824,-0.020714,0.301501,0.140087,-0.027574,-0.019084,0.035137,0.455960,0.797311,-0.831201,-0.021267,0.023391,0.228399,-0.681598,-1.782292,-1.252519,-0.148362,0.505756,1.229112,-0.801616,0.049584,-0.611298,0.234596,1.041119,-0.395975,0.040603,0.454124
38,0.317627,0.028713,-0.088362,0.020152,0.211284,0.086253,-0.059398,0.134905,0.021141,-0.082871,0.184866,-0.220760,-0.007732,-0.089694,-0.090680,-0.021941,0.031454,-0.074416,0.013983,0.109016,-0.063062,-0.074109,-0.051094,0.218646,0.140700,-0.019936,-0.036978,0.035137,-0.458565,0.586495,-0.404700,-0.026830,0.034634,0.221634,-0.713862,-1.156866,-0.695079,0.133101,0.720792,0.872905,-0.894894,-0.769199,-0.309228,0.269890,1.129649,-0.541529,-0.001915,0.741960
39,0.301136,0.022577,-0.098908,0.001553,0.205253,0.118620,-0.072245,0.118414,0.008103,-0.061971,0.213053,-0.224700,-0.016007,-0.082792,-0.076564,-0.033602,-0.075337,-0.088532,-0.046126,0.176983,-0.062141,-0.084850,-0.073803,0.064596,0.141007,-0.011563,-0.027716,0.032682,0.010123,0.107649,0.186316,-0.027937,0.037049,0.219324,-0.436413,-1.269223,-0.564611,0.059039,0.555648,0.919816,-0.520181,-0.902628,-0.142347,0.440344,0.955541,-0.443408,-0.037024,0.538014
40,0.286755,0.016633,-0.110989,-0.013021,0.193324,0.145567,-0.086051,0.101924,-0.008772,-0.047973,0.241624,-0.224658,-0.018155,-0.078190,-0.071961,-0.024703,-0.043422,-0.074416,-0.060990,0.097820,-0.072575,-0.079633,-0.086998,0.077792,0.144997,-0.005164,-0.016593,0.023476,-0.045604,-0.275746,0.252704,-0.025940,0.036840,0.222480,0.334079,-1.022718,-0.736838,-0.364569,0.145372,0.986138,-0.571910,-0.736785,-0.030432,0.447605,0.989076,-0.474203,-0.034170,0.689365
41,0.271414,0.015099,-0.106961,-0.023375,0.189364,0.147628,-0.101775,0.086200,-0.026604,-0.029182,0.271154,-0.224635,-0.018350,-0.073204,-0.079940,-0.001995,0.046184,-0.043115,0.002794,-0.035295,-0.079019,-0.080554,-0.088532,0.102648,0.148986,-0.003345,-0.001821,0.027158,0.177341,-0.344452,0.863899,-0.023125,0.032360,0.228649,0.386650,-1.729696,-0.552169,-0.575405,-0.093184,1.023109,0.074550,-0.698035,0.016595,0.635889,0.959309,-0.281845,0.012787,0.128756
42,0.254349,0.014908,-0.092580,-0.029511,0.193340,0.130394,-0.117115,0.068751,-0.044054,-0.005212,0.301450,-0.226644,-0.019941,-0.066109,-0.086691,-0.001074,0.068586,-0.022862,0.025468,-0.097188,-0.074109,-0.090374,-0.086384,0.128426,0.152055,-0.001998,0.010907,0.042502,-0.465089,0.167317,0.666162,-0.023774,0.030655,0.236870,-0.558800,-1.255260,-0.447247,0.023788,0.575727,0.862444,-0.472173,-0.797205,-0.174562,0.487787,1.134681,-0.469619,0.025612,0.522315
43,0.237283,0.013374,-0.087212,-0.033538,0.197334,0.109630,-0.130345,0.049384,-0.060736,0.022975,0.332130,-0.226657,-0.016429,-0.055755,-0.082702,-0.013656,0.008132,-0.023783,0.014309,-0.088058,-0.060607,-0.098966,-0.081781,0.143155,0.153896,-0.002198,0.013422,0.052935,-0.905990,0.156856,0.815751,-0.033034,0.034847,0.244102,-0.513722,-0.526182,0.136226,0.114770,0.641642,0.416083,-0.275233,-1.077171,-0.322598,0.462448,1.084204,-0.518057,-0.015942,0.525546
44,0.222326,0.007621,-0.090087,-0.039674,0.195357,0.098611,-0.140509,0.028292,-0.075884,0.052121,0.363002,-0.226674,-0.013306,-0.044825,-0.071654,-0.032068,-0.016111,-0.030227,-0.026070,-0.034729,-0.050787,-0.108172,-0.071654,0.146224,0.153282,0.000296,0.015899,0.053856,-0.816136,0.038953,0.759872,-0.041678,0.035402,0.251893,-0.298775,-0.417835,0.184912,0.092519,0.554425,0.390694,-0.220441,-0.978420,-0.229191,0.470196,1.021588,-0.502019,-0.003127,0.512317
45,0.208903,0.000910,-0.087595,-0.045235,0.185386,0.104481,-0.153356,0.005473,-0.087964,0.081459,0.390423,-0.226691,-0.010964,-0.034662,-0.064596,-0.032375,0.033909,-0.030534,-0.053700,0.048192,-0.070427,-0.116458,-0.054776,0.146838,0.150213,0.002807,0.015874,0.050173,-0.200701,-0.238993,0.537997,-0.045284,0.035955,0.258629,0.151417,-0.726300,0.104724,-0.204465,0.256250,0.588708,-0.153529,-0.863931,-0.097242,0.451257,1.113299,-0.444224,0.018644,0.457739
46,0.196632,-0.003692,-0.070529,-0.050987,0.175404,0.116977,-0.168121,-0.018879,-0.097552,0.108879,0.419952,-0.224717,-0.005073,-0.024691,-0.061835,-0.018873,0.104490,-0.021021,-0.048819,0.058010,-0.070427,-0.123209,-0.046491,0.133949,0.147758,0.001674,0.014310,0.051708,-0.108457,-0.214391,0.194508,-0.046276,0.032068,0.262227,0.193034,-1.087911,-0.016059,-0.347723,0.273168,0.665691,-0.180574,-0.865753,-0.149369,0.457497,1.156539,-0.380011,0.065803,0.377886
47,0.183785,-0.005801,-0.047327,-0.053288,0.169410,0.120610,-0.179434,-0.044382,-0.106564,0.132848,0.452933,-0.224721,-0.003315,-0.013378,-0.063369,-0.006291,0.132108,-0.007518,-0.026644,0.005894,-0.049560,-0.127198,-0.044036,0.111241,0.148065,0.000264,0.007240,0.059073,0.046092,-0.202744,-0.272015,-0.048186,0.029287,0.262054,0.047562,-0.861949,-0.377389,-0.384947,0.471181,0.515825,-0.714766,-0.703930,-0.320945,0.264046,1.381592,-0.559173,0.102013,0.774291
48,0.171321,-0.006569,-0.020290,-0.053863,0.163374,0.119108,-0.187295,-0.070077,-0.114809,0.151639,0.479011,-0.224721,-0.002925,-0.001106,-0.062141,-0.004756,0.114616,-0.002608,-0.025727,-0.025253,-0.034216,-0.128426,-0.039740,0.087612,0.144076,-0.000763,-0.001410,0.061528,0.216017,0.194704,-0.486495,-0.046363,0.028449,0.258212,-0.470255,-1.164018,-0.214300,-0.170420,0.589676,0.526187,-0.490416,-0.900782,-0.462826,0.360273,1.327387,-0.478038,0.082583,0.492082
49,0.159240,-0.007911,-0.003033,-0.054439,0.155300,0.112208,-0.193815,-0.095771,-0.122096,0.165445,0.506815,-0.224720,-0.003315,0.011358,-0.059073,-0.007825,0.071961,-0.003836,-0.045043,-0.027439,-0.035137,-0.129039,-0.033909,0.061528,0.138552,0.000482,-0.000634,0.064596,0.353923,0.086949,-0.752038,-0.042594,0.030583,0.251781,-0.289751,-1.266567,-0.617381,-0.254283,0.656917,0.817429,-0.954457,-0.754513,-0.391307,0.296377,1.403954,-0.583820,0.104489,0.882853
