timestep,left_hip_pitch_joint_pos_diff,left_hip_roll_joint_pos_diff,left_hip_yaw_joint_pos_diff,left_knee_pitch_joint_pos_diff,left_ankle_pitch_joint_pos_diff,left_ankle_roll_joint_pos_diff,left_shoulder_pitch_joint_pos_diff,right_hip_pitch_joint_pos_diff,right_hip_roll_joint_pos_diff,right_hip_yaw_joint_pos_diff,right_knee_pitch_joint_pos_diff,right_ankle_pitch_joint_pos_diff,right_ankle_roll_joint_pos_diff,right_shoulder_pitch_joint_pos_diff,left_hip_pitch_joint_vel,left_hip_roll_joint_vel,left_hip_yaw_joint_vel,left_knee_pitch_joint_vel,left_ankle_pitch_joint_vel,left_ankle_roll_joint_vel,left_shoulder_pitch_joint_vel,right_hip_pitch_joint_vel,right_hip_roll_joint_vel,right_hip_yaw_joint_vel,right_knee_pitch_joint_vel,right_ankle_pitch_joint_vel,right_ankle_roll_joint_vel,right_shoulder_pitch_joint_vel,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,base_euler_x,base_euler_y,base_euler_z,left_hip_pitch_joint_action,left_hip_roll_joint_action,left_hip_yaw_joint_action,left_knee_pitch_joint_action,left_ankle_pitch_joint_action,left_ankle_roll_joint_action,left_shoulder_pitch_joint_action,right_hip_pitch_joint_action,right_hip_roll_joint_action,right_hip_yaw_joint_action,right_knee_pitch_joint_action,right_ankle_pitch_joint_action,right_ankle_roll_joint_action,right_shoulder_pitch_joint_action
163,0.047833,-0.011937,0.067339,-0.027018,0.047649,0.135196,-0.231398,-0.404106,-0.179621,0.226038,0.699716,-0.202851,0.013047,0.114711,-0.028999,-0.001995,0.000767,0.010280,-0.014166,-0.022678,-0.027772,-0.061835,0.002608,0.018566,0.002915,0.011838,-0.022110,0.031147,-0.085871,0.017073,0.224360,-0.028218,0.011098,0.224366,-0.261282,-1.167687,-0.377845,-0.570977,-0.430635,0.787789,-0.328152,-1.115660,-0.348740,0.485209,1.054856,-0.242554,-0.042261,0.304364
164,0.041697,-0.012896,0.067339,-0.025293,0.041326,0.129182,-0.236576,-0.415994,-0.179238,0.229682,0.698757,-0.200869,0.005427,0.119314,-0.032375,-0.006291,-0.000153,0.006598,-0.041277,-0.038657,-0.024396,-0.057845,0.002302,0.013963,-0.008746,0.018835,-0.030730,0.017645,-0.046169,0.003829,0.274613,-0.029989,0.011510,0.227025,-0.300896,-1.171292,-0.299662,-0.546890,-0.452552,0.767567,-0.287178,-1.090380,-0.360897,0.459732,1.022696,-0.212792,-0.045821,0.249270
165,0.034794,-0.014814,0.067339,-0.024525,0.028818,0.126208,-0.241177,-0.426924,-0.178854,0.229106,0.695881,-0.196880,-0.001572,0.120848,-0.035444,-0.009360,0.001074,0.003222,-0.062350,-0.019749,-0.023476,-0.053549,0.002608,-0.009360,-0.018259,0.025954,-0.032921,0.006598,0.023031,0.117010,0.352184,-0.029846,0.012516,0.230219,-0.370281,-1.296993,-0.255061,-0.528340,-0.393495,0.770563,-0.244059,-1.079522,-0.362064,0.477851,0.950141,-0.142436,-0.052067,0.148927
166,0.027508,-0.016539,0.068490,-0.023759,0.018514,0.123260,-0.245971,-0.436895,-0.178279,0.227381,0.690129,-0.190859,-0.007167,0.122190,-0.036978,-0.007825,0.010894,0.004756,-0.052964,-0.006366,-0.022555,-0.047412,0.001995,-0.004450,-0.029920,0.032298,-0.032610,0.006598,0.103613,0.118586,0.047103,-0.029416,0.014950,0.232196,-0.352251,-1.373844,-0.421350,-0.524208,-0.313995,0.791117,-0.421309,-0.984472,-0.286758,0.445967,0.908974,-0.132989,-0.055056,0.280726
167,0.019837,-0.017498,0.074434,-0.022225,0.014464,0.117413,-0.249998,-0.445524,-0.178087,0.227956,0.682843,-0.184812,-0.014951,0.123532,-0.037899,-0.003222,0.036364,0.008132,-0.026608,-0.008964,-0.017031,-0.040354,0.000460,0.004143,-0.040047,0.040312,-0.031256,0.007518,0.126854,-0.051762,-0.212096,-0.028450,0.014836,0.231307,-0.145938,-1.342813,-0.421327,-0.645339,-0.429365,0.780151,-0.373433,-0.933103,-0.249891,0.427687,0.850519,-0.075838,-0.081594,0.241054
168,0.011784,-0.018457,0.082680,-0.020499,0.010239,0.119382,-0.251724,-0.452619,-0.178279,0.227956,0.673638,-0.174676,-0.017346,0.125258,-0.040354,-0.005677,0.039433,0.009053,-0.008437,-0.003734,-0.005677,-0.033602,-0.000460,-0.002608,-0.049867,0.048457,-0.026053,0.008746,0.043337,0.097105,-0.197277,-0.028033,0.014635,0.229106,-0.390919,-1.189623,-0.318482,-0.596863,-0.412928,0.728493,-0.386765,-0.940386,-0.352889,0.376166,0.813223,-0.037047,-0.094392,0.219130
169,0.003539,-0.020375,0.088049,-0.019348,0.010333,0.117032,-0.251724,-0.458563,-0.178087,0.226422,0.662325,-0.166575,-0.025129,0.126792,-0.040660,-0.012428,0.020407,0.004450,-0.011672,0.005990,0.002302,-0.028386,0.001381,-0.009053,-0.059993,0.057551,-0.021364,0.006598,0.047236,0.094875,-0.130972,-0.027857,0.015264,0.227489,-0.426252,-1.169908,-0.242442,-0.546254,-0.362946,0.698443,-0.376479,-0.931812,-0.343163,0.336330,0.726488,-0.000292,-0.103033,0.195855
170,-0.003939,-0.023634,0.091500,-0.019157,0.001943,0.123712,-0.251148,-0.463357,-0.177320,0.225272,0.650245,-0.152284,-0.026677,0.127559,-0.036364,-0.016418,0.019179,-0.000460,-0.031737,-0.002952,0.003529,-0.021941,0.006598,-0.004756,-0.070120,0.067832,-0.017415,0.003222,0.131579,0.023942,-0.136551,-0.027374,0.016078,0.226210,-0.301429,-1.295277,-0.311257,-0.562701,-0.380373,0.705573,-0.351705,-0.785523,-0.251665,0.327104,0.652218,0.035350,-0.121935,0.171078
171,-0.010651,-0.026702,0.097253,-0.019540,-0.004235,0.116545,-0.249998,-0.466808,-0.175403,0.224313,0.634713,-0.137969,-0.029209,0.127750,-0.032682,-0.013963,0.033909,-0.001074,-0.047619,-0.023528,0.006291,-0.014576,0.009360,-0.004450,-0.081781,0.079123,-0.015961,0.000767,0.166212,0.042452,-0.138512,-0.026111,0.016689,0.224797,-0.334887,-1.353781,-0.358952,-0.571012,-0.400690,0.690947,-0.325447,-0.700064,-0.233197,0.316153,0.584176,0.083123,-0.138378,0.135939
172,-0.016979,-0.028811,0.104539,-0.019540,-0.012622,0.109041,-0.248080,-0.468726,-0.173677,0.222779,0.616688,-0.123628,-0.035114,0.127750,-0.030841,-0.009973,0.036671,0.000153,-0.045493,-0.034408,0.010280,-0.006905,0.009360,-0.009973,-0.094670,0.088908,-0.019572,-0.000767,0.134904,0.086645,-0.015278,-0.025193,0.017405,0.223926,-0.392255,-1.341325,-0.229245,-0.537117,-0.407892,0.645502,-0.206706,-0.731891,-0.232849,0.344917,0.444542,0.177974,-0.167369,-0.008634
